question,label
서울 꽃구경 가고 싶다고,S-LOCATION S-PLACE O O
인천 바다 보러 갈거 같아,S-PLACE O O O O
어느 관광지 좋을까,O O O
부산 야구장 관광지 알고 싶어,S-LOCATION S-PLACE O O O
갈만한 대구 스키 관광지 추천해 주세요,O S-LOCATION S-PLACE O O O
광주 꽃구경 가고 싶다고요,S-LOCATION S-PLACE O O
울산 수목원 알려줘 봐요,S-LOCATION S-PLACE O O
관광지 있는지 모르겠네요,O O O
인천 워터파크 개장한 곳 있어,S-LOCATION S-PLACE O O O
어디 관광지 가겠냐,O O O
파주 유명한 공연장 알려줘,S-LOCATION O S-PLACE O
창원 여행 갈만한 바다,S-LOCATION O O S-PLACE
평택 갈만한 스키장 여행 해보고 싶네,S-LOCATION O S-PLACE O O O
제주도 템플스테이 여행 갈 데 추천해 줘,S-LOCATION S-PLACE O O O O O
전주 가까운 바다 관광지 보여줘 봐요,S-LOCATION O S-PLACE O O O
용인 가까운 축구장 어딨어,S-LOCATION O S-PLACE O
붐비는 관광지,O O
청주 가을 풍경 예쁜 산 가보고 싶어,S-LOCATION S-DATE O O S-PLACE O O
안산 다시 오고 싶은 템플스테이,S-LOCATION O O O S-PLACE
시흥 가까운 물놀이 알려 좀 줘봐요,S-LOCATION O S-PLACE O O O
춘천 동물원 관광지 알려주라,S-LOCATION S-PLACE O O
목포 꽃놀이 어디 가는게 좋을까,S-LOCATION S-PLACE O O O
대산면 가까운 사찰 관광지 추천해 줬으면 해요,S-LOCATION O S-PLACE O O O O
강남구 미술관 관광지 알려줘,S-LOCATION S-PLACE O O
강동구 경기장 구경 갈래,S-LOCATION S-PLACE O O
강북구 볼링장 가고 싶네요,S-LOCATION S-PLACE O O
강서구 가까운 문학관 관광지 어디 가야 할까,S-LOCATION O S-PLACE O O O O
관악구 갈만한 연극 추천받고 싶은데요,S-LOCATION O S-PLACE O O
혹시 광진구 바닷가 갈만한 데 어디니,O S-LOCATION S-PLACE O O O
구로구 가까운 시장 관광지 원해요,S-LOCATION O S-PLACE O O
금천구 꽃구경 위치 알려줘,S-LOCATION S-PLACE O O
노원구 가까운 절 관광지 알려주면 좋겠어요,S-LOCATION O S-PLACE O O O
도봉구 박물관 갈만한 곳 추천해 줘,S-LOCATION S-PLACE O O O O
동대문구 놀이공원 알고 싶다고요,S-LOCATION S-PLACE O O
동작구 계곡 가고 싶은데 알려줄래,S-LOCATION S-PLACE O O O
관광지 보고 싶다고,O O O
서대문구 놀이동산 괜찮을까요,S-LOCATION S-PLACE O
서초구 유명한 등산 관광지 추천해 주세요,S-LOCATION O S-PLACE O O O
성동구 주변 갈만한 계곡 어디,S-LOCATION O O S-PLACE O
성북구 에버랜드 가고 싶어,S-LOCATION S-PLACE O O
송파구 가까운 축구 관광지 가고싶어,S-LOCATION O S-PLACE O O
양천구 유명한 바닷가 알려줘 봐요,S-LOCATION O S-PLACE O O
영등포구 속 뻥 뚫리는 산책로,S-LOCATION O O O S-PLACE
광명구 물놀이 하고 싶어,S-LOCATION S-PLACE O O
은평구 유명한 산 관광지 어디 있니,S-LOCATION O S-PLACE O O O
종로구 가족끼리 계곡 여행,S-LOCATION O S-PLACE O
그럼 중구 축구장 어디,O S-LOCATION S-PLACE O
그럼 중랑구 시장 관광지 추천해 줘,O S-LOCATION S-PLACE O O O
부산 서구 해수욕장 추천 필요해,B-LOCATION E-LOCATION S-PLACE O O
서울 동구 꽃구경 할만한 곳 어디,B-LOCATION E-LOCATION S-PLACE O O O
영도구 계곡 보고 싶은데 추천해 줘,S-LOCATION S-PLACE O O O O
부산진구 시원한 여름 축제,S-LOCATION O S-DATE S-PLACE
건대 근처 쉼터 있니 알려줘,S-LOCATION O S-PLACE O O
신촌 가까운 야구장 어디 있어,S-LOCATION O S-PLACE O O
강남 가로수길 갈만한 산 없나요,B-LOCATION E-LOCATION O S-PLACE O
인사동 갈만한 워터파크 추천해 줘,S-LOCATION O S-PLACE O O
효자동 인기 있는 스키 구경거리 추천해줘,S-LOCATION O O S-PLACE O O
완산구 갈만한 단풍 구경거리 보고싶어요,S-LOCATION O S-PLACE O O
덕진구 스키장 개장한 곳 있지 않아,S-LOCATION S-PLACE O O O O
전라도 광주 미술관 구경거리 부탁해,B-LOCATION E-LOCATION S-PLACE O O
서울 유명한 꽃놀이 정보,S-LOCATION O S-PLACE O
서울 가까운 바다 구경거리 추천해 봐,S-LOCATION O S-PLACE O O O
부산 야구장 구경거리,S-LOCATION S-PLACE O
한림읍 유명한 축구 구경거리 보여줘 봐,S-LOCATION O S-PLACE O O O
생비량면 갈만한 단풍 축제 구경하고 싶은데요,S-LOCATION O B-PLACE E-PLACE O O
미천면 갈만한 단풍 구경거리 추천받고 싶어요,S-LOCATION O S-PLACE O O O
갈법한 외서면 1월 축제 보여줘,O S-LOCATION S-DATE S-PLACE O
장안면 혹시 식물원 구경거리 추천해 줄 수 있어,S-LOCATION O S-PLACE O O O O O
울릉도 가볼만한 계곡 알려주세요,S-LOCATION O S-PLACE O
연천 계곡 추천 받고 싶다,S-LOCATION S-PLACE O O O
안양 가까운 계곡 추천 좀 해봐요,S-LOCATION O S-PLACE O O O
의왕 추천해 주고픈 꽃구경,S-LOCATION O O S-PLACE
가볼만한 안산 워터파크 있어,O S-LOCATION S-PLACE O
물놀이 하고 싶은데 현남면 갈만한 데 있어,S-PLACE O O S-LOCATION O O O
경기도 화성 소풍 가는거 어때,B-LOCATION E-LOCATION S-PLACE O O
오산 축구장 어디 있을까,S-LOCATION S-PLACE O O
현북면 해수욕장 구경거리 알려줘 봐,S-LOCATION S-PLACE O O O
당진 가까운 연극 구경거리 알려줬으면 해,S-LOCATION O S-PLACE O O O
쉬고 싶은데 갈만한 천안 구경거리 어디 갈까,O O O S-LOCATION O O O
