question,label
제주 감귤 패션 프룻 주스 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
핫 앤 스파이시 멕시칸 오리지널 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
핫 앤 스파이시 멕시칸 골드링 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
핫 앤 스파이시 멕시칸 치즈롤 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
핫 앤 스파이시 멕시칸 씬 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
스파이시 치킨 랜치 골드링 씬 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
핫 치킨 바베큐 골드링 씬 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
치킨 수퍼 파파스 골드링 씬 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
갈릭 페퍼 스테이크 골드링 씬 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
모짜렐라 인 더 버거 베이컨 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
모짜렐라 인 더 버거 더블 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
모짜렐라 인 더 버거 해쉬 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
아이스 초코파이 마시멜로 앤 초콜릿 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
아이스 단호박 라떼 위드 샷 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
패션 탱고 티 레모네이드 피지오 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
아이스 제주 노랑 고구마 라떼 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
에그 베이컨 치즈 백년초 베이글 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
제주 녹차 베이컨 치즈 베이글 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
제주 흑돼지 초리조 먹물 샌드위치 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
로고 코인 다크 초콜릿 골드 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
로고 코인 밀크 초콜릿 실버 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
자바 칩 유기농 바닐라 아이스크림 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
자바 칩 유기농 초콜릿 아이스크림 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
퓨어 더블 초코렛 아이스 블렌디드 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
아이스 맑은 유자 플럼 티 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
아이스 맑은 배 도라지 티 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
단백질 듬뿍 로스트 치킨 샐러드 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
그릴 더 쏘앤윙 소세지 윙 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
블랙 포레스트햄 앤 에그 치즈 먹고싶다,B-FOODNAME I-FOODNAME I-FOODNAME I-FOODNAME E-FOODNAME O
